100 100
111 60 6.9
158 89 2.8
176 31 9.2
22 71 9.1
131 108 9.1
96 137 7.2
198 95 2.7
57 105 5.0
22 140 5.2
192 109 6.6
180 189 6.9
130 126 8.6
111 84 3.4
81 178 8.8
196 134 2.5
46 181 9.8
141 198 2.8
68 158 5.7
188 125 7.1
33 79 4.1
37 122 6.4
74 92 8.1
199 32 3.7
76 193 5.9
46 141 4.0
45 19 8.2
138 164 6.5
157 153 8.5
100 158 8.5
27 100 4.0
134 39 5.3
138 62 9.4
145 180 9.0
34 185 2.1
62 125 4.0
31 200 3.8
106 109 5.6
92 53 2.4
26 112 7.2
67 52 7.0
42 82 3.8
193 57 2.2
188 47 6.0
78 77 5.1
58 78 9.7
111 185 2.5
32 142 3.5
129 81 9.5
161 199 6.7
63 33 4.8
110 145 6.6
31 59 4.1
106 176 3.3
170 95 6.8
81 103 3.4
47 152 5.7
122 43 2.2
178 72 6.4
80 141 5.9
50 33 5.6
162 70 7.0
60 136 2.4
17 153 5.8
129 153 4.2
81 44 2.5
156 115 6.0
158 127 3.2
110 34 9.4
126 164 3.0
200 69 6.3
124 26 4.3
172 162 8.6
64 200 4.3
40 69 2.0
121 175 3.5
88 46 3.1
50 59 9.7
95 173 4.4
51 90 3.8
39 92 4.6
20 130 3.3
148 138 6.6
17 173 8.4
145 95 9.4
19 33 8.5
150 58 2.8
16 92 5.8
83 36 2.0
34 23 2.6
62 19 8.4
155 106 2.1
195 161 8.0
192 145 4.6
91 17 6.6
171 55 7.6
112 123 8.4
88 153 2.1
154 15 5.6
91 197 8.9
68 133 4.2
